Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2020,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
5,Hypopharynx,900,World,0,1,38599,2025,43871,5272,13.6584,0
5,Hypopharynx,900,World,0,1,38599,2030,49321,10722,27.7779,0
5,Hypopharynx,900,World,0,1,38599,2035,54753,16154,41.8508,0
5,Hypopharynx,900,World,0,1,38599,2040,59998,21399,55.4393,0
6,Oesophagus,900,World,0,1,544076,2020,544076,0,0,0
6,Oesophagus,900,World,0,1,544076,2025,623435,79359,14.586,0
6,Oesophagus,900,World,0,1,544076,2030,708198,164122,30.1653,0
6,Oesophagus,900,World,0,1,544076,2035,795235,251159,46.1625,0
6,Oesophagus,900,World,0,1,544076,2040,880388,336312,61.8134,0
7,Stomach,900,World,0,1,768793,2020,768793,0,0,0
7,Stomach,900,World,0,1,768793,2025,882725,113932,14.8196,0
7,Stomach,900,World,0,1,768793,2030,1008106,239313,31.1284,0
7,Stomach,900,World,0,1,768793,2035,1141668,372875,48.5014,0
7,Stomach,900,World,0,1,768793,2040,1274582,505789,65.79,0
8,Colon,900,World,0,1,576858,2020,576858,0,0,0
8,Colon,900,World,0,1,576858,2025,668142,91284,15.8243,0
8,Colon,900,World,0,1,576858,2030,773878,197020,34.154,0
8,Colon,900,World,0,1,576858,2035,894211,317353,55.0141,0
8,Colon,900,World,0,1,576858,2040,1019568,442710,76.7451,0
9,Rectum,900,World,0,1,339022,2020,339022,0,0,0
9,Rectum,900,World,0,1,339022,2025,390015,50993,15.0412,0
9,Rectum,900,World,0,1,339022,2030,446919,107897,31.826,0
9,Rectum,900,World,0,1,339022,2035,508831,169809,50.0879,0
9,Rectum,900,World,0,1,339022,2040,571491,232469,68.5705,0
